Animal ID;Name;DateTime;Date of Birth;Outcome Type;Outcome Subtype;Animal Type;Sex upon Outcome;Age upon Outcome;Breed;Color
A799521;;07/11/2019 01:44:00 PM;07/09/2018;Transfer;Partner;Other;Unknown;1 year;Guinea Pig;Red
A786910;Max;01/04/2019 04:22:00 PM;01/04/2017;Return to Owner;;Dog;Intact Male;2 years;Border Collie Mix;White/Black
A809244;;12/04/2019 10:35:00 AM;11/21/2018;Transfer;Partner;Dog;Neutered Male;1 year;Chihuahua Shorthair/Dachshund;Red
A805742;;10/06/2019 12:05:00 PM;04/01/2019;Transfer;Snr;Cat;Unknown;6 months;Domestic Medium Hair;Black
A814772;Lanie;03/10/2020 02:19:00 PM;03/05/2007;Transfer;Partner;Cat;Intact Female;13 years;Domestic Shorthair;Brown Tabby
A818492;*Virgo;06/19/2020 05:13:00 PM;02/09/2020;Transfer;Partner;Cat;Neutered Male;4 months;Domestic Medium Hair;Black
A823750;Mara;10/04/2020 01:31:00 PM;03/29/2020;Transfer;Partner;Dog;Intact Female;6 months;Labrador Retriever/German Shepherd;Yellow
A782672;*Brian;01/09/2019 05:48:00 PM;10/19/2017;Adoption;;Cat;Neutered Male;1 year;Domestic Shorthair Mix;Brown Tabby/White
A803738;;09/12/2019 01:58:00 PM;08/12/2019;Transfer;Partner;Cat;Intact Male;4 weeks;Domestic Shorthair;Black
A822808;;09/10/2020 10:40:00 AM;09/10/2012;Transfer;Partner;Dog;Intact Male;8 years;Chow Chow;Black
A792509;Ravioli;04/13/2019 06:06:00 PM;10/11/2018;Return to Owner;;Dog;Intact Female;6 months;Beagle Mix;Brown/White
A803324;Sophie;09/02/2019 05:13:00 PM;08/30/2016;Transfer;Partner;Dog;Intact Female;3 years;Chihuahua Shorthair Mix;Tricolor
A801439;Coco;08/08/2019 04:46:00 PM;08/04/2018;Adoption;;Dog;Neutered Male;1 year;Chihuahua Shorthair;Brown/Tan
A799716;*Harrison;07/14/2019 05:44:00 PM;06/04/2019;Transfer;Partner;Cat;Intact Male;1 month;Domestic Shorthair;Brown Tabby
A788265;Ottis;02/08/2019 05:09:00 PM;02/08/2004;Return to Owner;;Dog;Neutered Male;15 years;Chihuahua Shorthair Mix;Black/Tricolor
A794534;;05/12/2019 09:53:00 PM;03/01/2019;Adoption;;Dog;Neutered Male;2 months;Labrador Retriever;White/Black
A822714;Toto;09/18/2020 12:30:00 PM;06/23/2020;Transfer;Partner;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Brown Tabby
A808925;*Amigo;11/24/2019 11:38:00 AM;11/16/2017;Adoption;;Dog;Neutered Male;2 years;Boxer;White/Brown
A786889;*Imogen;01/06/2019 01:38:00 PM;01/03/2017;Transfer;Partner;Dog;Intact Female;2 years;Australian Cattle Dog Mix;White/Black
A807292;;10/28/2019 05:36:00 PM;08/30/2019;Adoption;;Dog;Neutered Male;1 month;Labrador Retriever Mix;Brown
A812658;Violet;01/30/2020 05:41:00 PM;01/26/2017;Adoption;;Dog;Spayed Female;3 years;Wire Hair Fox Terrier;Brown
A800367;Coco;07/20/2019 03:06:00 PM;07/19/2007;Return to Owner;;Dog;Neutered Male;12 years;Chihuahua Shorthair Mix;Brown/White
A734612;Benji;07/26/2019 07:16:00 PM;01/17/2013;Return to Owner;;Dog;Neutered Male;6 years;Pit Bull Mix;Black/White
A798821;;07/17/2019 11:04:00 AM;06/09/2019;Euthanasia;Suffering;Cat;Intact Female;1 month;Domestic Shorthair Mix;White/Buff
A799957;;07/19/2019 11:53:00 AM;07/14/2012;Transfer;Snr;Cat;Neutered Male;7 years;Domestic Shorthair;Black
A826261;Golden Eye;12/03/2020 03:02:00 PM;05/23/2020;Transfer;Partner;Cat;Spayed Female;6 months;Domestic Shorthair;Black
A827465;;12/28/2020 05:18:00 PM;07/07/2020;Adoption;;Dog;Spayed Female;5 months;Maltese/Miniature Poodle;Black/Brown
A820168;*Jinx;07/22/2020 02:01:00 PM;05/14/2020;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Medium Hair;Black
A788576;Muttley;02/12/2019 12:41:00 PM;02/11/2017;Transfer;Partner;Dog;Neutered Male;2 years;Dachshund Wirehair Mix;Brown
A796338;*Spider;06/04/2019 12:55:00 PM;05/01/2019;Transfer;Partner;Cat;Intact Male;4 weeks;Domestic Shorthair Mix;Blue/White
A813437;Bobby Brown;02/16/2020 12:37:00 PM;02/10/2016;Adoption;;Other;Unknown;4 years;Rabbit Sh;Black
A825946;*Pigeon;12/22/2020 02:54:00 PM;05/18/2020;Adoption;;Cat;Neutered Male;7 months;Domestic Shorthair Mix;Orange Tabby/White
A822254;;08/29/2020 03:05:00 PM;07/06/2020;Return to Owner;;Dog;Intact Female;1 month;Beagle/Dachshund;White/Black
A799017;*Brandy;07/08/2019 05:56:00 PM;07/03/2018;Adoption;;Dog;Spayed Female;1 year;Labrador Retriever;White/Brown Brindle
A818958;*Dee Dee;08/11/2020 11:15:00 AM;06/15/2020;Adoption;Foster;Dog;Spayed Female;1 month;Catahoula Mix;Brown Brindle
A802528;*Satin;10/15/2019 02:16:00 PM;07/22/2019;Adoption;;Cat;Neutered Male;2 months;Domestic Medium Hair;Orange Tabby
A787117;Zulu;01/14/2019 05:39:00 PM;11/14/2018;Adoption;;Cat;Intact Female;1 month;Domestic Shorthair Mix;Tortie
A806730;;10/20/2019 08:15:00 AM;10/15/2018;Euthanasia;;Other;Unknown;1 year;Bat Mix;Brown
A798287;*Eleanor;06/29/2019 01:56:00 PM;06/24/2018;Transfer;Partner;Dog;Intact Female;1 year;Siberian Husky;Gray
A816147;*Alfred;07/28/2020 10:43:00 AM;02/23/2020;Adoption;Foster;Dog;Neutered Male;5 months;Black Mouth Cur Mix;Brown/White
A790320;*Tinka;03/15/2019 02:53:00 PM;07/08/2018;Transfer;Partner;Dog;Spayed Female;8 months;Labrador Retriever Mix;Brown/White
A799662;*Pippa;08/08/2019 11:53:00 AM;07/10/2017;Transfer;Partner;Dog;Intact Female;2 years;Pit Bull;Blue/White
A817778;Blue;05/29/2020 11:10:00 AM;05/26/2014;Return to Owner;;Dog;Neutered Male;6 years;Labrador Retriever;Brown
A795515;;05/26/2019 02:53:00 PM;05/21/2009;Transfer;Partner;Cat;Neutered Male;10 years;Domestic Medium Hair;Brown Tabby
A799914;;07/13/2019 06:37:00 PM;07/01/2019;Transfer;Partner;Cat;Unknown;1 weeks;Domestic Shorthair;Brown Tabby/White
A814140;;02/28/2020 12:24:00 PM;02/25/2018;Euthanasia;Rabies Risk;Other;Unknown;2 years;Bat;Brown/Black
A814142;;02/28/2020 12:24:00 PM;02/25/2018;Euthanasia;Rabies Risk;Other;Unknown;2 years;Bat;Brown/Black
A802731;Taurus;08/25/2019 12:22:00 PM;08/21/2018;Return to Owner;;Dog;Neutered Male;1 year;Pit Bull;Tan/White
A809452;Brownie;12/04/2019 10:34:00 AM;11/24/2016;Transfer;Partner;Dog;Intact Male;3 years;Labrador Retriever/Boxer;Brown/White
A823078;;09/17/2020 01:26:00 PM;08/24/2020;Transfer;Partner;Cat;Intact Female;3 weeks;Domestic Shorthair;Brown Tabby
A823388;*Bandit;12/04/2020 09:25:00 AM;09/23/2017;Adoption;Foster;Dog;Neutered Male;3 years;Plott Hound Mix;Black Brindle/White
A787871;Kuro;01/27/2019 07:27:00 PM;12/06/2018;Adoption;;Cat;Intact Female;1 month;Domestic Shorthair Mix;Black
A810687;*Steven;01/09/2020 04:46:00 PM;11/18/2019;Adoption;Foster;Dog;Neutered Male;1 month;Rottweiler Mix;Black/Brown
A667268;;01/30/2020 02:20:00 PM;11/15/2011;Transfer;Partner;Cat;Spayed Female;8 years;Domestic Shorthair Mix;Torbie
A811433;*Molly;01/15/2020 12:54:00 PM;01/03/2018;Transfer;Partner;Dog;Intact Female;2 years;Pit Bull;Red
A788879;*Dinah;02/19/2019 04:44:00 PM;02/10/2018;Adoption;;Dog;Spayed Female;1 year;Chihuahua Longhair Mix;Tan
A826313;*Yee Haw;12/03/2020 03:05:00 PM;11/24/2017;Transfer;Partner;Dog;Neutered Male;3 years;Labrador Retriever/German Shepherd;Black/Brown
A800494;Ducky;08/01/2019 07:27:00 PM;10/22/2018;Adoption;;Dog;Spayed Female;9 months;Whippet Mix;Black/White
A817634;;06/19/2020 05:28:00 AM;04/06/2020;Adoption;Foster;Cat;Spayed Female;2 months;Domestic Shorthair;Black
A812242;;01/22/2020 03:35:00 PM;11/18/2019;Adoption;;Dog;Spayed Female;2 months;Labrador Retriever;Tan
A806251;Coco;10/08/2019 11:28:00 AM;02/07/2019;Return to Owner;;Dog;Intact Male;7 months;Wire Hair Fox Terrier;Black/White
A808775;Bat;11/14/2019 04:21:00 PM;11/13/2017;Disposal;;Other;Unknown;2 years;Bat;Brown
A805627;Apollo;10/05/2019 05:19:00 PM;05/29/2019;Adoption;;Cat;Neutered Male;4 months;Domestic Medium Hair;Blue
A796492;Batina;06/06/2019 04:26:00 PM;04/17/2019;Adoption;;Cat;Intact Female;1 month;Domestic Shorthair;Calico
A787111;;03/27/2019 11:20:00 AM;01/07/2018;Adoption;Foster;Dog;Neutered Male;1 year;Australian Shepherd/Great Pyrenees;White/Tan
A808569;*Imogene;12/03/2019 02:25:00 PM;11/10/2018;Transfer;Partner;Dog;Intact Female;1 year;Pit Bull;Black/White
A804775;*Waffles;11/22/2019 06:36:00 AM;09/18/2011;Adoption;Foster;Dog;Spayed Female;8 years;Australian Shepherd Mix;Brown/Tan
A810936;*Kurt Russel;12/30/2019 01:14:00 PM;12/23/2016;Transfer;Partner;Dog;Intact Male;3 years;Golden Retriever Mix;Gold/White
A812230;*Graham;02/25/2020 10:22:00 AM;01/18/2010;Adoption;Foster;Dog;Neutered Male;10 years;Maltese/Miniature Poodle;Cream
A667097;Peaches;06/29/2019 11:02:00 AM;11/12/2011;Euthanasia;At Vet;Dog;Spayed Female;7 years;Yorkshire Terrier Mix;Tan/Black
A726708;Peluche;09/08/2019 12:59:00 PM;05/13/2008;Return to Owner;;Dog;Neutered Male;11 years;Lhasa Apso Mix;Black/White
A811841;Mickey;01/29/2020 06:18:00 PM;07/10/2018;Transfer;Partner;Other;Intact Female;1 year;Mouse;White/Black
A815414;*Booties;03/24/2020 04:31:00 PM;03/15/2015;Transfer;Partner;Dog;Spayed Female;5 years;Chihuahua Shorthair;Tan/White
A816710;;04/25/2020 05:17:00 PM;04/10/2020;Transfer;Partner;Cat;Unknown;2 weeks;Domestic Shorthair;Tortie
A802844;;08/27/2019 11:32:00 AM;05/23/2019;Transfer;Snr;Cat;Intact Female;3 months;Domestic Shorthair;Orange Tabby
A809872;;12/09/2019 02:00:00 PM;08/03/2019;Adoption;;Dog;Spayed Female;4 months;Chihuahua Shorthair/Pug;Tan
A793624;;05/06/2019 04:17:00 PM;04/18/2019;Return to Owner;;Dog;Unknown;2 weeks;Cairn Terrier Mix;Brown
A789763;;03/04/2019 12:50:00 PM;02/27/2016;Transfer;Partner;Dog;Intact Female;3 years;Shih Tzu Mix;White/Blue
A820295;Ivory;07/29/2020 09:33:00 AM;07/16/2019;Died;In Foster;Other;Intact Female;1 year;Guinea Pig;White/Black
A819697;Biscuit;07/08/2020 04:12:00 PM;02/18/2020;Adoption;;Dog;Spayed Female;4 months;Plott Hound;Brown Brindle
A796133;;05/30/2019 08:20:00 AM;04/14/2019;Died;In Kennel;Cat;Unknown;1 month;Domestic Shorthair;Blue
A801431;Gilligan;08/08/2019 02:41:00 PM;05/24/2019;Transfer;Partner;Dog;Intact Male;2 months;Labrador Retriever;Tan
A789421;Sun;02/28/2019 01:56:00 PM;02/21/2009;Adoption;;Cat;Spayed Female;10 years;Domestic Longhair Mix;Orange Tabby/White
A801762;;08/14/2019 01:30:00 PM;07/09/2019;Transfer;Partner;Cat;Intact Male;1 month;Domestic Shorthair;Black/White
A826452;*Hiccup;12/04/2020 03:30:00 PM;11/28/2019;Adoption;;Dog;Neutered Male;1 year;German Shepherd;Brown
A723955;Charlie;05/04/2019 12:21:00 PM;04/09/2002;Adoption;;Cat;Neutered Male;17 years;Domestic Longhair Mix;Orange Tabby
A820265;*Naan;10/17/2020 09:59:00 AM;05/31/2020;Adoption;Foster;Dog;Neutered Male;4 months;Labrador Retriever Mix;Buff
A818564;*Madeleine;07/08/2020 01:16:00 PM;06/10/2018;Adoption;Foster;Cat;Spayed Female;2 years;Domestic Shorthair;Cream Tabby/White
A791173;*Dylan;05/10/2019 02:11:00 PM;03/22/2016;Adoption;;Dog;Neutered Male;3 years;Doberman Pinsch Mix;Black/Brown
A802890;;08/28/2019 11:12:00 AM;08/24/2018;Transfer;Snr;Cat;Intact Female;1 year;Domestic Longhair;Brown Tabby/White
A794654;Mau;05/20/2019 02:57:00 PM;05/10/2015;Return to Owner;;Dog;Neutered Male;4 years;German Shepherd;Brown/Black
A820704;Dobby;07/27/2020 12:26:00 PM;07/26/2010;Return to Owner;;Dog;Neutered Male;10 years;Rat Terrier Mix;White/Black
A798053;;06/23/2019 06:49:00 PM;05/23/2019;Transfer;Partner;Cat;Intact Male;4 weeks;Domestic Shorthair;White/Blue
A813124;Capitan;03/31/2020 09:33:00 AM;02/04/2015;Adoption;Foster;Dog;Neutered Male;5 years;German Shepherd Mix;Black/Tan
A643015;Mojo;04/24/2020 03:30:00 PM;12/03/2008;Adoption;Foster;Dog;Neutered Male;11 years;Boxer;Brown/White
A788399;*Phil;02/11/2019 05:43:00 PM;02/01/2017;Adoption;;Dog;Neutered Male;2 years;Catahoula Mix;Brown/White
A787027;*Leonard;01/14/2019 07:08:00 PM;01/06/2018;Adoption;;Dog;Neutered Male;1 year;Great Dane/Labrador Retriever;Black
A803153;*Ash;08/31/2019 04:27:00 PM;08/08/2019;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Shorthair;Brown Tabby
A800867;*Fennel;08/27/2019 12:38:00 PM;06/21/2019;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair;Brown Tabby
A795378;;05/24/2019 05:07:00 PM;03/20/2019;Adoption;;Dog;Neutered Male;2 months;Chihuahua Shorthair;Brown
A823422;*Petunia;11/17/2020 10:49:00 AM;08/22/2020;Adoption;Foster;Cat;Spayed Female;2 months;Domestic Shorthair;Blue Tabby
A803490;Zeus;09/02/2019 06:34:00 PM;09/02/2015;Return to Owner;;Dog;Neutered Male;4 years;Treeing Tennesse Brindle;Brown Brindle
A818294;;06/05/2020 10:51:00 AM;06/05/2019;Euthanasia;Suffering;Other;Unknown;1 year;Fox;Brown/Gray
A817566;Ginger;05/20/2020 10:36:00 AM;12/19/2009;Return to Owner;;Dog;Spayed Female;10 years;Chihuahua Shorthair;White
A811877;Ruby;01/12/2020 05:55:00 PM;11/11/2019;Adoption;;Dog;Spayed Female;2 months;Labrador Retriever Mix;Black/White
A787385;Bailey;01/14/2019 05:40:00 PM;10/28/2018;Adoption;;Dog;Spayed Female;2 months;Black/Tan Hound Mix;Tricolor/Brown
A788248;;02/02/2019 01:31:00 PM;01/29/2018;Transfer;Partner;Dog;Intact Female;1 year;Labrador Retriever Mix;Black
A802677;*Tilikum;09/25/2019 04:25:00 PM;04/21/2019;Adoption;;Cat;Neutered Male;5 months;Domestic Shorthair;Black/White
A826985;;12/14/2020 12:22:00 PM;12/10/2019;Transfer;Partner;Cat;Intact Female;1 year;Domestic Shorthair;Blue/White
A765665;Mona;10/04/2019 03:02:00 PM;01/24/2011;Transfer;Partner;Dog;Spayed Female;8 years;Australian Cattle Dog;Black/Tricolor
A792693;Penny;04/22/2019 05:53:00 PM;04/14/2010;Adoption;;Dog;Spayed Female;9 years;Miniature Poodle Mix;Apricot
A789487;;02/26/2019 12:05:00 PM;02/22/2017;Transfer;Snr;Cat;Intact Male;2 years;Domestic Shorthair Mix;Brown Tabby/White
A795094;;06/15/2019 05:09:00 PM;04/08/2019;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair;Cream Tabby/White
A757106;Niko;01/14/2019 12:55:00 PM;05/14/2014;Return to Owner;;Dog;Intact Male;4 years;German Shepherd Mix;Black
A788014;Koda;02/18/2019 02:35:00 PM;04/24/2018;Adoption;;Dog;Neutered Male;9 months;Basenji Mix;Red/White
A818037;;05/31/2020 05:55:00 PM;04/19/2020;Return to Owner;;Dog;Intact Female;1 month;Labrador Retriever/German Shepherd;Black/Tricolor
A796790;;06/09/2019 02:49:00 PM;09/05/2018;Transfer;Partner;Cat;Intact Female;9 months;Domestic Shorthair;Torbie/White
A795583;*Drake;06/07/2019 06:54:00 PM;05/22/2018;Adoption;;Other;Neutered Male;1 year;Rabbit Sh;Brown/White
A796272;Kitty;12/18/2019 12:09:00 PM;04/15/2019;Adoption;Foster;Cat;Intact Female;8 months;Siamese;Seal Point
A788692;Roscoe;02/12/2019 03:29:00 PM;02/07/2017;Return to Owner;;Dog;Neutered Male;2 years;Dachshund Mix;Brown
A802482;Cheeta Sparkle;08/22/2019 03:14:00 PM;02/18/2018;Adoption;;Cat;Spayed Female;1 year;Ragdoll/Munchkin Longhair;White/Tan
A822060;Cocoa;08/26/2020 11:45:00 AM;08/25/2018;Transfer;Partner;Dog;Unknown;2 years;Toy Poodle;White
A811846;*Baron;01/31/2020 04:58:00 PM;01/10/2018;Transfer;Partner;Cat;Neutered Male;2 years;Siamese Mix;Lynx Point
A826267;;12/01/2020 01:52:00 PM;06/23/2020;Transfer;Partner;Cat;Spayed Female;5 months;Domestic Shorthair;Black/White
A786811;*Jenny;01/12/2019 05:29:00 PM;03/02/2018;Adoption;;Dog;Spayed Female;10 months;Border Collie Mix;Black/White
A798755;*Aturna;07/08/2019 12:00:00 AM;09/30/2018;Transfer;Partner;Dog;Intact Female;9 months;Labrador Retriever;White
A800099;;07/20/2019 09:55:00 AM;07/16/2018;Disposal;;Other;Unknown;1 year;Cold Water;Black
A810505;*Moira;01/15/2020 01:26:00 PM;05/14/2011;Adoption;;Cat;Spayed Female;8 years;Domestic Medium Hair;White
A787255;*Lady Lou;03/09/2019 05:25:00 PM;01/10/2017;Transfer;Partner;Dog;Intact Female;2 years;German Shepherd Mix;Tan/Black
A794122;Ahri;05/06/2019 11:17:00 AM;05/04/2012;Return to Owner;;Dog;Spayed Female;7 years;Labrador Retriever Mix;Brown
A818422;Primrose;08/08/2020 02:25:00 PM;05/09/2020;Adoption;Foster;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Brown Tabby
A821716;;08/25/2020 01:06:00 PM;08/18/2018;Transfer;Partner;Dog;Spayed Female;2 years;Chihuahua Shorthair;Tan
A804746;*Blaise;10/03/2019 05:51:00 PM;09/18/2017;Adoption;;Dog;Neutered Male;2 years;Australian Cattle Dog;Blue Tick/White
A790380;Cleo;03/13/2019 11:46:00 AM;03/09/2014;Transfer;Partner;Cat;Spayed Female;5 years;Domestic Shorthair Mix;Calico
A811362;*Janko;01/21/2020 01:53:00 PM;01/02/2018;Transfer;Partner;Dog;Neutered Male;2 years;Alaskan Husky;Brown/Tan
A794409;;05/12/2019 07:37:00 PM;02/25/2019;Adoption;;Dog;Spayed Female;2 months;Anatol Shepherd Mix;Brown/White
A799348;;07/11/2019 11:03:00 AM;07/07/2013;Euthanasia;At Vet;Cat;Spayed Female;6 years;Domestic Shorthair;Brown Tiger
A798631;*Kanga;08/03/2019 03:18:00 PM;05/21/2019;Adoption;Foster;Cat;Spayed Female;2 months;Domestic Medium Hair;Torbie
A799749;*Leelou;07/20/2019 07:04:00 PM;04/25/2019;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair;Calico
A798724;*Stefan;09/29/2019 11:20:00 AM;04/18/2019;Adoption;;Cat;Neutered Male;5 months;Domestic Shorthair;Orange Tabby
A795492;;06/13/2019 06:44:00 PM;04/29/2019;Transfer;Partner;Dog;Intact Male;1 month;Border Collie/Labrador Retriever;Black/White
A803436;;09/07/2019 05:35:00 PM;05/01/2019;Adoption;;Dog;Neutered Male;4 months;Chihuahua Shorthair/Smooth Fox Terrier;Black
A812394;Luna;01/22/2020 12:51:00 PM;01/21/2018;Return to Owner;;Dog;Spayed Female;2 years;Catahoula Mix;Black/Gray
A797794;Jupiter;11/07/2019 12:51:00 PM;06/17/2017;Adoption;;Cat;Spayed Female;2 years;Domestic Shorthair;Torbie
A825700;;11/20/2020 04:47:00 PM;08/18/2020;Adoption;;Dog;Neutered Male;3 months;Plott Hound Mix;Brown Brindle/White
A822582;;09/10/2020 11:14:00 AM;06/20/2020;Adoption;;Dog;Spayed Female;2 months;Beagle;Brown/White
A806293;Quannah;12/05/2019 05:59:00 PM;10/08/2018;Adoption;;Dog;Neutered Male;1 year;Great Dane Mix;Fawn
A794561;;05/13/2019 01:49:00 PM;05/09/2011;Transfer;Partner;Dog;Intact Male;8 years;Shetland Sheepdog Mix;Tricolor
A824929;;10/27/2020 05:00:00 PM;10/23/2018;Transfer;Partner;Dog;Neutered Male;2 years;Dachshund;Black/Brown
A827655;Hazard;12/28/2020 05:41:00 PM;12/28/2009;Return to Owner;;Dog;Spayed Female;11 years;German Shepherd;Brown/Black
A793615;Harley;04/28/2019 04:20:00 PM;02/12/2019;Adoption;;Dog;Spayed Female;2 months;Labrador Retriever/Pit Bull;Black/White
A790701;*Norma;03/25/2019 05:43:00 PM;03/14/2018;Adoption;;Dog;Neutered Male;1 year;Chihuahua Longhair;White/Tan
A796679;;02/20/2020 12:42:00 PM;04/27/2019;Adoption;Foster;Dog;Neutered Male;9 months;Miniature Schnauzer/Beagle;Black
A821047;*Bettina;08/14/2020 02:54:00 PM;08/03/2015;Adoption;;Dog;Spayed Female;5 years;Chihuahua Shorthair;Black/Tan
A791233;Blue;03/25/2019 05:29:00 PM;11/23/2018;Adoption;;Dog;Spayed Female;4 months;Dachshund Wirehair Mix;Red/White
A800130;Kolby;07/21/2019 10:56:00 PM;05/01/2019;Adoption;;Dog;Spayed Female;2 months;Boxer;Brown
A792576;Chloe;04/22/2019 06:48:00 PM;04/14/2015;Return to Owner;;Dog;Spayed Female;4 years;Boxer;Brown/White
A822031;Picaso;08/29/2020 11:42:00 AM;03/25/2019;Transfer;Partner;Dog;Intact Male;1 year;Dachshund Mix;Black/Brown
A808603;;01/02/2020 10:44:00 AM;10/07/2019;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair;Brown Tabby
A812487;;01/27/2020 06:08:00 PM;01/23/2019;Adoption;;Dog;Neutered Male;1 year;Spanish Water Dog;White/Brown
A791492;Lily;03/31/2019 05:47:00 PM;07/27/2018;Adoption;;Dog;Spayed Female;8 months;Labrador Retriever/Dachshund;Black/White
A804835;Ramses;12/14/2019 06:19:00 PM;09/19/2014;Adoption;Foster;Cat;Neutered Male;5 years;Domestic Shorthair;Brown Tabby/White
A796687;;06/09/2019 02:49:00 PM;06/04/2017;Transfer;Snr;Cat;Intact Female;2 years;Domestic Shorthair Mix;Torbie
A702801;*Annie;01/02/2019 05:08:00 PM;05/17/2015;Adoption;;Cat;Spayed Female;3 years;Domestic Shorthair Mix;Blue
A792034;Storm;04/15/2019 04:45:00 PM;04/04/2017;Adoption;;Dog;Neutered Male;2 years;Rottweiler;Black/Brown
A788203;;02/27/2019 08:22:00 AM;12/26/2018;Adoption;Foster;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Blue Tabby/White
A775479;Abby;04/21/2019 12:42:00 PM;07/04/2015;Return to Owner;;Dog;Spayed Female;3 years;Dachshund Mix;Black/White
A812152;*Molly;02/22/2020 06:03:00 PM;12/14/2019;Adoption;;Dog;Spayed Female;2 months;German Shepherd Mix;Black/Brown Brindle
A802486;;08/22/2019 11:57:00 AM;08/18/2018;Transfer;Snr;Cat;Intact Male;1 year;Domestic Shorthair;Brown Tabby/White
A815083;Lacy;03/21/2020 01:38:00 PM;03/10/2010;Transfer;Partner;Cat;Spayed Female;10 years;Domestic Shorthair;Torbie
A816536;;04/21/2020 07:55:00 AM;04/20/2018;Euthanasia;Rabies Risk;Other;Unknown;2 years;Bat;Brown
A827064;;12/15/2020 06:01:00 PM;11/07/2020;Return to Owner;;Cat;Intact Female;1 month;Domestic Shorthair;Brown Tabby
A674786;Jake;01/03/2020 04:21:00 PM;09/18/2007;Return to Owner;;Dog;Neutered Male;12 years;Jindo Mix;Red
A796237;*Eva;08/21/2019 01:57:00 PM;05/01/2019;Adoption;Foster;Cat;Spayed Female;3 months;Domestic Shorthair Mix;Calico
A616805;Marley;11/23/2019 02:05:00 PM;10/22/2011;Return to Owner;;Dog;Neutered Male;8 years;Labrador Retriever Mix;Black/White
A793448;;05/04/2019 02:18:00 PM;04/25/2017;Adoption;;Dog;Neutered Male;2 years;Chihuahua Shorthair Mix;Brown/Brown
A819198;*Mikey;07/01/2020 11:12:00 AM;06/23/2018;Transfer;Partner;Dog;Neutered Male;2 years;Chihuahua Shorthair;Tricolor
A823886;*Lacy;12/10/2020 06:03:00 PM;04/01/2020;Adoption;;Cat;Spayed Female;8 months;Domestic Shorthair;Blue Tabby/White
A791091;;03/22/2019 02:32:00 PM;01/30/2019;Transfer;Partner;Dog;Intact Male;1 month;German Shepherd/Labrador Retriever;Tricolor
A787262;Ghost;01/11/2019 05:44:00 PM;08/10/2017;Transfer;Partner;Cat;Neutered Male;1 year;Domestic Shorthair Mix;Cream Tabby/White
A793751;;05/03/2019 04:56:00 PM;11/03/2018;Adoption;;Cat;Spayed Female;5 months;Domestic Shorthair Mix;Brown Tabby/White
A796299;;05/31/2019 01:51:00 PM;05/09/2019;Transfer;Partner;Cat;Intact Female;3 weeks;Domestic Shorthair;Calico
A824935;Coach;10/27/2020 07:28:00 PM;10/23/2018;Adoption;;Dog;Neutered Male;2 years;Jack Russell Terrier;White/Brown
A802470;183 Grams;08/18/2019 05:59:00 PM;08/09/2019;Transfer;Partner;Cat;Intact Male;1 weeks;Domestic Shorthair Mix;Black/White
A809212;;11/26/2019 06:50:00 PM;09/14/2019;Adoption;;Cat;Neutered Male;2 months;Domestic Medium Hair;Black
A824968;*Thackery;10/31/2020 11:52:00 AM;10/24/2019;Adoption;;Dog;Neutered Male;1 year;Siberian Husky Mix;Black/White
A806153;;10/06/2019 05:52:00 PM;09/15/2019;Transfer;Partner;Cat;Intact Male;3 weeks;Siamese;Lynx Point
A812252;*Nugget;02/15/2020 11:23:00 AM;01/18/2018;Adoption;;Dog;Neutered Male;2 years;Labrador Retriever Mix;Red
A796947;Bluebell;06/21/2019 11:23:00 PM;06/07/2017;Adoption;;Dog;Spayed Female;2 years;Staffordshire;White/Black
A821026;;10/27/2020 10:57:00 AM;07/24/2020;Adoption;Foster;Cat;Spayed Female;3 months;Domestic Shorthair;Lilac Point
A788723;;02/11/2019 04:43:00 PM;02/07/2018;Adoption;;Dog;Neutered Male;1 year;Manchester Terrier Mix;Black/Brown
A812596;*Maneet Chauhan;02/09/2020 04:17:00 PM;11/25/2019;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair;Brown Tabby
A808689;;11/18/2019 12:19:00 PM;09/17/2019;Transfer;Partner;Cat;Intact Female;2 months;Domestic Shorthair;Brown Tabby/White
A790554;;03/16/2019 05:13:00 PM;05/12/2018;Adoption;;Dog;Spayed Female;10 months;Boxer Mix;Brown Brindle/White
A715366;Sadie;12/31/2019 02:20:00 PM;11/04/2014;Return to Owner;;Dog;Spayed Female;5 years;Labrador Retriever Mix;Chocolate/White
A795004;;07/07/2019 05:20:00 PM;04/30/2019;Adoption;;Dog;Spayed Female;2 months;Redbone Hound Mix;Red
A787366;*Apollo;01/19/2019 03:52:00 PM;01/11/2017;Transfer;Partner;Cat;Neutered Male;2 years;Domestic Shorthair Mix;Brown Tabby
A787177;;01/13/2019 12:31:00 PM;11/09/2018;Transfer;Partner;Dog;Intact Male;2 months;Chihuahua Shorthair;Cream
