;index;Animal ID;Name;DateTime;Date of Birth;Outcome Type;Outcome Subtype;Animal Type;Sex upon Outcome;Age upon Outcome;Breed;Color
4508;18695;A810937;Scooter;12/30/2019 05:41:00 PM;12/23/2017;Adoption;;Dog;Neutered Male;2 years;Wire Hair Fox Terrier;White
4509;18696;A795491;;06/13/2019 06:43:00 PM;04/29/2019;Transfer;Partner;Dog;Intact Female;1 month;Border Collie/Labrador Retriever;Black/White
4510;18702;A785790;*Frosty;01/18/2019 03:24:00 PM;09/24/2018;Adoption;;Cat;Neutered Male;3 months;Domestic Medium Hair Mix;White/Brown Tabby
4511;18706;A803042;Ellie;08/30/2019 05:32:00 PM;05/26/2019;Adoption;;Dog;Spayed Female;3 months;Anatol Shepherd/Boxer;Tan/White
4512;18709;A794184;;05/04/2019 05:41:00 PM;05/04/2019;Transfer;Partner;Dog;Unknown;0 years;Pit Bull Mix;White
4513;18711;A802922;;08/28/2019 05:35:00 PM;05/09/2019;Adoption;;Dog;Spayed Female;3 months;Labrador Retriever Mix;Tan/Black
4514;18712;A806099;*Yancy;10/09/2019 04:05:00 PM;08/05/2019;Adoption;;Dog;Neutered Male;2 months;Rat Terrier;Black/Tan
4515;18724;A818722;;06/17/2020 08:46:00 AM;06/10/2020;Died;In Kennel;Cat;Intact Male;1 week;Domestic Shorthair;Orange Tabby
4516;18725;A803621;*Tetra;11/24/2019 12:39:00 PM;07/23/2019;Adoption;;Cat;Neutered Male;4 months;Domestic Shorthair;Brown Tabby/White
4517;18726;A799887;;07/17/2019 12:00:00 AM;07/13/2018;Transfer;Snr;Cat;Intact Male;1 year;Domestic Shorthair Mix;Black
4518;18728;A805463;*Buttermilk;11/07/2019 01:31:00 PM;07/27/2019;Adoption;;Dog;Spayed Female;3 months;Labrador Retriever/German Shepherd;Cream
4519;18739;A790092;;03/08/2019 12:17:00 PM;03/04/2018;Transfer;Partner;Dog;Intact Male;1 year;Miniature Poodle/Maltese;Tan/Black
4520;18742;A505566;Gabriella;06/02/2019 06:39:00 PM;04/04/2001;Return to Owner;;Cat;Spayed Female;18 years;Domestic Longhair Mix;Blue
4521;18743;A820772;Trixie;08/28/2020 05:11:00 PM;07/28/2019;Rto-Adopt;;Dog;Spayed Female;1 year;Bull Terrier;White/Brown
4522;18754;A787188;Bailey;01/09/2019 12:44:00 PM;10/09/2017;Return to Owner;;Dog;Intact Female;1 year;Great Pyrenees Mix;White
4523;18756;A793019;*Lucy;04/22/2019 04:46:00 PM;04/18/2018;Transfer;Partner;Dog;Spayed Female;1 year;Chihuahua Shorthair Mix;Tan
4524;18761;A795807;*Radcliffe;06/29/2019 05:31:00 PM;04/17/2019;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair;Black Tabby
4525;18769;A801182;Copper;08/02/2019 12:45:00 PM;08/01/2013;Return to Owner;;Dog;Intact Male;6 years;Basset Hound;White/Tan
4526;18772;A586437;Marley;03/19/2019 04:31:00 PM;10/08/2009;Return to Owner;;Dog;Neutered Male;9 years;Pit Bull Mix;White/Tan
4527;18775;A791068;;03/21/2019 11:33:00 AM;03/21/2018;Euthanasia;Rabies Risk;Other;Unknown;1 year;Bat Mix;Black
4528;18787;A792303;Mila;04/10/2019 01:16:00 PM;04/10/2009;Return to Owner;;Dog;Spayed Female;10 years;Pug Mix;Brown/White
4529;18789;A813804;;02/19/2020 11:21:00 AM;02/18/2018;Return to Owner;;Dog;Intact Male;2 years;Labrador Retriever/Great Pyrenees;Cream
4530;18791;A808944;*Jingle;11/18/2019 06:21:00 PM;08/16/2019;Adoption;;Other;Unknown;3 months;Rat;White/Gray
4531;18802;A800028;Hercules;08/25/2019 04:24:00 PM;08/15/2018;Adoption;;Dog;Neutered Male;1 year;Boxer Mix;Brown Brindle
4532;18803;A812520;Ru;02/14/2020 02:03:00 PM;05/23/2019;Transfer;Partner;Cat;Spayed Female;8 months;Domestic Shorthair;Torbie
4533;18804;A790548;*Anastasia;03/23/2019 01:08:00 PM;03/12/2018;Adoption;;Dog;Spayed Female;1 year;Pointer Mix;Black/White
4534;18808;A800794;Zeke;09/08/2019 05:51:00 PM;06/16/2019;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair;Black
4535;18813;A811966;;01/13/2020 02:00:00 PM;01/13/2019;Transfer;Partner;Other;Unknown;1 year;Turtle;Green
4536;18815;A794696;*Lincoln;05/22/2019 01:11:00 PM;05/11/2017;Transfer;Partner;Dog;Intact Male;2 years;Australian Cattle Dog;White/Red Merle
4537;18822;A787614;*Mack;09/20/2019 06:57:00 PM;01/16/2018;Adoption;;Dog;Neutered Male;1 year;Pit Bull Mix;Brown Brindle/White
4538;18825;A791495;Figaro;03/30/2019 01:14:00 PM;03/26/2018;Adoption;;Dog;Neutered Male;1 year;Australian Shepherd Mix;Black/Tricolor
4539;18827;A807433;*Tookie;11/08/2019 03:47:00 PM;10/24/2013;Transfer;Partner;Dog;Intact Female;6 years;Boxer;Brown
4540;18830;A819275;;07/17/2020 11:22:00 AM;05/04/2020;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair;Blue Tabby
4541;18857;A802963;Coco;08/27/2019 04:32:00 PM;11/25/2018;Adoption;;Dog;Spayed Female;9 months;Bichon Frise Mix;White
4542;18866;A819311;Eddie;07/22/2020 11:06:00 AM;01/26/2018;Transfer;Partner;Dog;Neutered Male;2 years;Pit Bull Mix;Brown/White
4543;18871;A795113;*Dante;05/24/2019 06:45:00 PM;05/16/2017;Adoption;;Dog;Neutered Male;2 years;Siberian Husky;White/Black
4544;18874;A823824;Chester;10/22/2020 06:19:00 PM;10/01/2018;Adoption;;Dog;Neutered Male;2 years;Plott Hound Mix;Brown Brindle
4545;18879;A801765;;08/14/2019 01:31:00 PM;07/09/2019;Transfer;Partner;Cat;Intact Female;1 month;Domestic Shorthair;Brown Tabby/White
4546;18880;A794727;;05/12/2019 06:20:00 PM;03/11/2019;Adoption;;Dog;Neutered Male;2 months;Cairn Terrier;Black
4547;18883;A799956;Cani;01/18/2020 01:07:00 PM;06/19/2019;Adoption;Foster;Cat;Spayed Female;7 months;Domestic Shorthair;Black/White
4548;18886;A782065;Prieto;11/03/2019 07:23:00 PM;10/25/2013;Adoption;;Dog;Neutered Male;6 years;Labrador Retriever Mix;Black
4549;18889;A811849;*Casper;01/25/2020 02:14:00 PM;01/10/2018;Adoption;;Cat;Neutered Male;2 years;Siamese Mix;Lynx Point
4550;18891;A821982;*Green Bean;09/19/2020 04:12:00 PM;08/24/2018;Adoption;Foster;Cat;Neutered Male;2 years;Domestic Shorthair;Black/White
4551;18895;A797662;*Pandora;07/23/2019 05:24:00 PM;05/25/2019;Transfer;Partner;Cat;Intact Female;1 month;Domestic Shorthair Mix;Tortie
4552;18899;A790535;*Miles;03/16/2019 12:15:00 PM;12/28/2018;Adoption;;Dog;Neutered Male;2 months;Pit Bull Mix;Brown/White
4553;18908;A786906;;01/08/2019 11:02:00 AM;01/04/2018;Transfer;Snr;Cat;Intact Female;1 year;Domestic Shorthair Mix;Brown Tabby/White
4554;18912;A803785;Machi;09/09/2019 05:22:00 PM;01/06/2019;Return to Owner;;Dog;Intact Female;8 months;Pit Bull;Brown/White
4555;18913;A789430;;02/22/2019 04:08:00 PM;01/21/2019;Adoption;;Other;Unknown;4 weeks;Mouse Mix;Brown
4556;18917;A800899;Millie;07/28/2019 05:13:00 PM;07/28/2006;Return to Owner;;Dog;Spayed Female;13 years;Border Collie/Labrador Retriever;Black
4557;18918;A787290;;01/10/2019 05:44:00 PM;09/10/2018;Transfer;Partner;Dog;Intact Female;4 months;Pit Bull Mix;Blue/White
4558;18919;A789108;;02/15/2019 12:15:00 PM;02/13/2019;Transfer;Partner;Dog;Intact Male;2 days;Great Pyrenees Mix;White
4559;18920;A811624;*Helix;01/12/2020 04:14:00 PM;07/06/2019;Adoption;;Dog;Neutered Male;6 months;Border Collie Mix;Black/White
4560;18923;A813809;;02/21/2020 06:42:00 PM;02/18/2019;Transfer;Partner;Cat;Intact Female;1 year;Domestic Shorthair;Orange Tabby/White
4561;18943;A808613;Elu;02/15/2020 05:04:00 PM;11/11/2016;Adoption;;Cat;Neutered Male;3 years;American Shorthair;Brown Tabby
4562;18952;A796946;Artie;06/08/2019 12:19:00 PM;06/07/2017;Adoption;;Dog;Spayed Female;2 years;Chihuahua Shorthair/Dachshund;White/Brown
4563;18954;A801732;;08/09/2019 10:52:00 AM;08/08/2017;Euthanasia;Rabies Risk;Other;Unknown;2 years;Raccoon;Black/White
4564;18956;A807460;;11/06/2019 12:00:00 AM;05/25/2019;Transfer;Partner;Dog;Intact Male;5 months;Dachshund Wirehair;Black/Brown
4565;18958;A807304;*Tic Tac;11/06/2019 12:32:00 PM;10/23/2017;Adoption;;Dog;Neutered Male;2 years;German Shepherd;Black/Tan
4566;18961;A817738;;11/20/2020 02:24:00 PM;04/02/2020;Adoption;Foster;Cat;Neutered Male;7 months;Domestic Shorthair Mix;Brown Tabby/White
4567;18968;A805098;*Lola;09/24/2019 05:47:00 PM;03/22/2019;Adoption;;Cat;Spayed Female;6 months;Domestic Shorthair;Brown Tabby
4568;18976;A800181;;07/21/2019 06:09:00 PM;03/17/2019;Adoption;;Dog;Spayed Female;4 months;German Shepherd Mix;Black/Tan
4569;18980;A817187;*Mia;09/24/2020 07:09:00 AM;04/09/2020;Adoption;Foster;Cat;Spayed Female;5 months;Domestic Shorthair;Orange Tabby/White
4570;18982;A792691;Smith;04/17/2019 01:46:00 PM;04/17/2018;Return to Owner;;Dog;Intact Male;1 year;Siberian Husky;Gray/Black
4571;18986;A818643;*Lyra;09/23/2020 12:30:00 PM;06/11/2018;Adoption;Foster;Cat;Spayed Female;2 years;Domestic Shorthair;Brown Tabby/White
4572;18991;A798790;;07/03/2019 06:18:00 PM;04/22/2019;Transfer;Partner;Cat;Intact Male;2 months;Domestic Shorthair;Orange Tabby
4573;18993;A811811;Stevie Ray;05/14/2020 10:27:00 AM;01/09/2019;Adoption;Foster;Dog;Neutered Male;1 year;Australian Cattle Dog/Patterdale Terr;Black/Blue Tick
4574;18998;A787689;Emma;03/27/2019 09:39:00 AM;01/17/2019;Adoption;Foster;Dog;Spayed Female;2 months;German Shepherd Mix;Black
4575;18999;A810298;;12/15/2019 10:30:00 AM;12/10/2018;Transfer;Snr;Cat;Intact Male;1 year;Domestic Shorthair;Orange Tabby/White
4576;19004;A811170;;01/03/2020 04:58:00 PM;08/29/2019;Adoption;;Dog;Spayed Female;4 months;Chihuahua Shorthair;Tan
4577;19007;A791230;Piper;03/28/2019 05:15:00 PM;05/23/2018;Adoption;;Dog;Spayed Female;10 months;Australian Cattle Dog Mix;Red/Red Tick
4578;19010;A806802;;10/19/2019 11:21:00 AM;06/15/2019;Transfer;Snr;Cat;Intact Male;4 months;Domestic Shorthair;Orange Tabby/White
4579;19012;A796648;;06/08/2019 12:58:00 PM;06/03/2016;Transfer;Partner;Dog;Spayed Female;3 years;Australian Shepherd;Black/Tricolor
4580;19015;A802278;;08/20/2019 01:38:00 PM;06/16/2019;Adoption;;Dog;Intact Female;2 months;Catahoula;Tricolor
4581;19018;A789912;*Figgy;03/20/2019 04:54:00 PM;03/01/2017;Adoption;;Dog;Spayed Female;2 years;Staffordshire Mix;Brown/White
4582;19024;A813285;Dargo;02/07/2020 05:30:00 PM;02/07/2019;Return to Owner;;Dog;Intact Male;1 year;Labrador Retriever;Black/White
4583;19025;A794205;Neala;05/13/2019 04:18:00 PM;01/08/2018;Transfer;Partner;Dog;Intact Female;1 year;Great Dane;Black/Gray
4584;19037;A802285;;08/20/2019 03:57:00 PM;06/16/2019;Adoption;;Dog;Spayed Female;2 months;Labrador Retriever;Black
4585;19039;A793960;Chichon;05/26/2020 01:35:00 PM;05/02/2018;Adoption;Foster;Dog;Neutered Male;2 years;Labrador Retriever Mix;Chocolate
4586;19050;A798139;Kano;06/23/2019 06:41:00 PM;07/19/2017;Return to Owner;;Dog;Intact Male;1 year;Staffordshire Mix;Tan/White
4587;19051;A788501;;02/03/2019 05:19:00 PM;02/03/2016;Euthanasia;Suffering;Other;Unknown;3 years;Fox;Gray/Tricolor
4588;19054;A603708;Daisy;08/17/2019 11:31:00 AM;12/24/2008;Adoption;Foster;Dog;Spayed Female;10 years;Pit Bull Mix;White/Brown
4589;19060;A785257;;12/19/2019 01:31:00 PM;10/05/2018;Adoption;Foster;Dog;Spayed Female;1 year;Labrador Retriever Mix;Black/White
4590;19072;A801560;;09/04/2019 05:42:00 PM;04/09/2019;Adoption;;Cat;Neutered Male;4 months;Domestic Shorthair;Black/White
4591;19074;A825456;*Holden;11/13/2020 04:39:00 PM;12/04/2019;Adoption;;Dog;Neutered Male;11 months;German Shepherd;Black/Tan
4592;19076;A790747;Pretty Boy;03/16/2019 04:10:00 PM;03/15/2016;Return to Owner;;Dog;Intact Male;3 years;American Bulldog Mix;Fawn/White
4593;19080;A794932;;05/14/2019 05:51:00 PM;04/29/2019;Transfer;Partner;Cat;Intact Female;2 weeks;Domestic Shorthair;Blue Tabby
4594;19082;A801942;;08/12/2019 09:56:00 AM;07/12/2019;Disposal;;Cat;Intact Male;4 weeks;Domestic Shorthair;Black
4595;19084;A821835;Bagel;10/31/2020 12:07:00 PM;08/20/2018;Adoption;;Dog;Spayed Female;2 years;Pit Bull;Blue Tiger/White
4596;19087;A801691;;09/25/2019 04:17:00 PM;08/06/2019;Transfer;Partner;Cat;Intact Male;1 month;Domestic Shorthair;Blue Tabby/White
4597;19089;A817189;*Love Bandit;09/24/2020 07:09:00 AM;04/09/2020;Adoption;Foster;Cat;Neutered Male;5 months;Domestic Shorthair;Black/White
4598;19090;A793843;;05/05/2019 04:45:00 PM;12/30/2018;Adoption;;Cat;Spayed Female;4 months;Domestic Shorthair Mix;Black
4599;19106;A786771;Bobo;01/11/2019 09:46:00 PM;01/01/2017;Return to Owner;;Dog;Intact Male;2 years;Dachshund/Pug;Brown
4600;19107;A822811;;09/14/2020 06:08:00 PM;04/25/2020;Adoption;;Dog;Neutered Male;4 months;German Shepherd Mix;Black/Tan
4601;19109;A820570;;07/28/2020 11:26:00 AM;04/22/2020;Transfer;Partner;Cat;Intact Female;3 months;Domestic Shorthair;Brown Tabby
4602;19110;A815704;*Mushu;05/07/2020 12:50:00 PM;03/09/2020;Adoption;Foster;Dog;Neutered Male;1 month;Labrador Retriever/Australian Cattle Dog;Black/White
4603;19111;A803492;Olive;09/17/2019 11:49:00 AM;03/02/2019;Transfer;Partner;Dog;Spayed Female;6 months;Labrador Retriever;Black
4604;19120;A789267;Rocket;02/18/2019 07:26:00 PM;05/05/2018;Return to Owner;;Dog;Intact Male;9 months;German Shorthair Pointer;Brown/White
4605;19130;A817051;*Chutney;12/15/2020 02:01:00 PM;05/06/2018;Adoption;;Dog;Neutered Male;2 years;Boxer;Brown/White
4606;19131;A810484;Tiana;01/28/2020 12:29:00 PM;12/14/2009;Transfer;Partner;Dog;Spayed Female;10 years;American Pit Bull Terrier;Tan/White
4607;19132;A789262;Possum;02/21/2019 02:40:00 PM;02/18/2012;Transfer;Partner;Cat;Intact Male;7 years;Domestic Longhair Mix;Brown Tabby/White
4608;19134;A815369;Pluto;03/16/2020 04:19:00 PM;12/30/2019;Adoption;;Dog;Neutered Male;2 months;Rottweiler;Brown/Black
4609;19136;A810961;;12/29/2019 05:56:00 PM;11/04/2019;Adoption;;Cat;Neutered Male;1 month;Domestic Longhair;Orange Tabby
4610;19137;A792487;;05/01/2019 07:05:00 PM;03/08/2019;Adoption;;Cat;Neutered Male;1 month;Domestic Shorthair Mix;Brown Tabby/White
4611;19146;A806104;Rory;10/18/2019 12:00:00 PM;10/05/2017;Transfer;Partner;Cat;Intact Male;2 years;Domestic Shorthair;Black/White
4612;19148;A629726;Boomie;10/31/2020 02:21:00 PM;06/12/2011;Adoption;Foster;Dog;Neutered Male;9 years;German Shepherd Mix;Brown/White
4613;19150;A806946;Preciosa;10/18/2019 07:02:00 PM;10/18/2015;Return to Owner;;Dog;Intact Female;4 years;Labrador Retriever;Brown/White
4614;19151;A809902;*Hamlet;12/14/2019 04:42:00 PM;12/03/2017;Adoption;;Dog;Neutered Male;2 years;Great Dane;Black
4615;19152;A768956;Lucky;01/18/2019 05:45:00 PM;03/27/2015;Adoption;;Dog;Neutered Male;3 years;Weimaraner/Labrador Retriever;Blue/White
4616;19159;A789213;Bailey;02/18/2019 02:59:00 PM;06/17/2018;Return to Owner;;Dog;Intact Female;8 months;Labrador Retriever Mix;Black
4617;19160;A788918;Koda;03/21/2019 11:24:00 AM;02/11/2017;Adoption;;Other;Neutered Male;2 years;Havana Mix;Black
4618;19161;A806279;;10/10/2019 12:22:00 PM;02/14/2019;Transfer;Partner;Dog;Intact Female;7 months;Yorkshire Terrier/Chihuahua Shorthair;White/Brown Brindle
4619;19170;A732412;Coyote;01/05/2019 05:31:00 PM;08/07/2014;Return to Owner;;Dog;Intact Male;4 years;German Shepherd;Tan/Black
4620;19174;A799436;Chloe;07/10/2019 04:00:00 PM;04/08/2019;Transfer;Partner;Cat;Intact Female;3 months;Domestic Shorthair;Black/White
4621;19194;A789075;Keta;02/17/2019 01:45:00 PM;02/16/2011;Adoption;;Dog;Spayed Female;8 years;Bulldog/Boxer;Black/White
4622;19199;A811723;Kane;01/08/2020 05:54:00 PM;01/08/2017;Return to Owner;;Dog;Intact Male;3 years;Chihuahua Shorthair;Black/White
4623;19203;A808889;Lucy;12/06/2019 07:44:00 PM;05/15/2018;Adoption;;Dog;Spayed Female;1 year;American Pit Bull Terrier;White
4624;19215;A801001;Chaparro;08/06/2019 02:07:00 PM;08/05/2011;Transfer;Partner;Dog;Neutered Male;8 years;Chihuahua Shorthair;Brown/White
4625;19217;A804794;Jax;09/25/2019 08:54:00 AM;02/23/2018;Adoption;;Cat;Neutered Male;1 year;Domestic Shorthair;Black
4626;19218;A786638;*Toby;07/17/2019 07:47:00 AM;12/29/2016;Adoption;Foster;Dog;Neutered Male;2 years;American Pit Bull Terrier Mix;Blue/White
4627;19222;A790088;;03/08/2019 11:03:00 AM;03/04/2018;Transfer;Snr;Cat;Unknown;1 year;Domestic Shorthair Mix;Brown Tabby/White
4628;19227;A821185;;08/11/2020 05:51:00 PM;04/05/2020;Adoption;;Dog;Neutered Male;4 months;Miniature Schnauzer;Black/Cream
4629;19228;A802639;;08/25/2019 04:36:00 PM;06/20/2019;Adoption;;Dog;Spayed Female;2 months;Australian Shepherd Mix;White/Brown Brindle
4630;19229;A814586;*Mulan;03/15/2020 02:59:00 PM;11/02/2019;Adoption;;Dog;Spayed Female;4 months;German Shepherd Mix;White/Black
4631;19230;A812139;Gravy Baby;01/16/2020 06:51:00 PM;01/16/2012;Return to Owner;;Cat;Neutered Male;8 years;Domestic Shorthair;Orange Tabby
4632;19232;A789285;*Aziz;03/08/2019 05:10:00 PM;02/18/2018;Adoption;;Dog;Neutered Male;1 year;Labrador Retriever/Pit Bull;Black
4633;19234;A790240;Zaza;03/11/2019 06:14:00 PM;07/11/2018;Adoption;;Dog;Spayed Female;7 months;Black/Tan Hound Mix;Tricolor
4634;19239;A807242;Milo;10/26/2019 11:29:00 AM;05/26/2019;Adoption;;Dog;Neutered Male;5 months;Dachshund/Miniature Pinscher;Black/Brown
4635;19261;A718877;Blacky;05/05/2019 04:32:00 PM;07/08/2015;Return to Owner;;Dog;Neutered Male;3 years;Labrador Retriever Mix;Black/White
4636;19271;A803187;Goldie;10/06/2020 11:35:00 AM;10/16/2016;Adoption;;Dog;Neutered Male;3 years;Golden Retriever/Labrador Retriever;Buff
4637;19277;A814211;Tyrus;02/26/2020 11:51:00 AM;12/11/2019;Return to Owner;;Dog;Intact Male;2 months;Border Terrier/Yorkshire Terrier;Brown/Black
4638;19278;A793784;Clementine;07/13/2019 02:58:00 PM;04/20/2019;Adoption;Foster;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Cream Tabby
4639;19279;A811169;*Chickpea;01/09/2020 04:18:00 PM;12/29/2018;Adoption;;Dog;Spayed Female;1 year;Chihuahua Shorthair;Tan
4640;19283;A774850;*Sheba;04/19/2019 08:49:00 AM;06/21/2012;Adoption;Foster;Cat;Spayed Female;6 years;Siamese Mix;Lynx Point
4641;19286;A822438;Charli;09/12/2020 11:48:00 AM;09/02/2017;Adoption;;Dog;Spayed Female;3 years;Boston Terrier Mix;Black/White
4642;19288;A814939;;05/09/2020 07:57:00 AM;03/01/2020;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Orange Tabby
4643;19294;A823631;;10/01/2020 06:50:00 PM;11/27/2019;Adoption;;Dog;Spayed Female;10 months;Australian Cattle Dog Mix;Tan/White
4644;19297;A794182;Texas;10/31/2019 12:18:00 PM;05/04/2018;Return to Owner;;Dog;Intact Male;1 year;Treeing Walker Coonhound Mix;Tricolor/White
4645;19309;A803664;Sasha;10/16/2019 05:56:00 PM;11/04/2018;Adoption;;Dog;Spayed Female;11 months;Labrador Retriever/Australian Shepherd;Black/White
4646;19312;A761837;Nyurka;01/30/2019 07:30:00 PM;11/10/2015;Return to Owner;;Dog;Spayed Female;3 years;Maltese Mix;White/Black
4647;19324;A826935;Cash;12/10/2020 12:29:00 PM;12/09/2018;Return to Owner;;Dog;Intact Male;2 years;German Shepherd;Black
4648;19325;A799431;;07/17/2019 08:05:00 AM;04/08/2019;Transfer;Partner;Dog;Intact Female;3 months;Great Pyrenees Mix;Tan/White
4649;19326;A806206;Skitz;10/18/2019 11:58:00 AM;10/07/2017;Transfer;Partner;Cat;Intact Female;2 years;Domestic Medium Hair Mix;Torbie
4650;19341;A809485;;11/30/2019 04:49:00 PM;09/25/2019;Adoption;;Dog;Neutered Male;2 months;Golden Retriever Mix;Red
4651;19344;A823047;;11/12/2020 12:28:00 PM;07/16/2020;Adoption;Foster;Cat;Neutered Male;3 months;Domestic Shorthair;Blue Tabby
4652;19345;A789255;*Ice Cream;02/22/2019 02:40:00 PM;08/18/2018;Transfer;Partner;Dog;Intact Male;6 months;Catahoula Mix;White/Blue Merle
4653;19347;A824316;Reed Richards;10/15/2020 01:58:00 PM;10/12/2015;Return to Owner;;Cat;Neutered Male;5 years;Domestic Shorthair;White/Black
4654;19353;A793463;Yui;08/28/2019 12:07:00 PM;03/10/2019;Adoption;Foster;Cat;Spayed Female;5 months;Siamese Mix;Lynx Point
4655;19354;A808454;;11/14/2019 04:25:00 PM;11/09/2018;Euthanasia;Suffering;Other;Unknown;1 year;Gerbil;Tan
4656;19356;A797025;*Kermit;06/13/2019 05:13:00 PM;10/08/2018;Adoption;;Dog;Neutered Male;8 months;Labrador Retriever Mix;Black/White
4657;19357;A792049;*Arya Bark;04/17/2019 03:49:00 PM;04/04/2016;Transfer;Partner;Dog;Spayed Female;3 years;Great Pyrenees Mix;White
4658;19360;A806265;*Augie;10/13/2019 02:52:00 PM;08/26/2019;Transfer;Partner;Cat;Intact Male;1 month;Domestic Shorthair;White/Black
4659;19361;A810717;Topher;01/29/2020 12:41:00 PM;12/18/2017;Adoption;Foster;Dog;Neutered Male;2 years;Australian Cattle Dog;Blue Tick
4660;19364;A800385;;07/24/2019 09:46:00 PM;07/20/2018;Adoption;;Dog;Neutered Male;1 year;Cardigan Welsh Corgi/Dachshund;Black/White
4661;19365;A820892;;08/06/2020 03:00:00 PM;05/01/2020;Transfer;Snr;Cat;Spayed Female;3 months;Domestic Shorthair Mix;Blue Tabby
4662;19368;A809023;;11/21/2019 06:37:00 PM;11/17/2017;Adoption;;Dog;Spayed Female;2 years;Boykin Span Mix;Red
4663;19373;A797807;*Dixie;08/25/2019 06:15:00 PM;06/17/2019;Adoption;;Dog;Spayed Female;2 months;Australian Cattle Dog/German Shepherd;Tricolor
4664;19374;A803342;Chichis;09/08/2019 04:39:00 PM;08/31/2017;Adoption;;Dog;Spayed Female;2 years;Chihuahua Shorthair;Black
4665;19375;A790742;Kimbo;03/22/2019 04:16:00 PM;03/15/2017;Adoption;;Dog;Neutered Male;2 years;Labrador Retriever Mix;Black/White
4666;19379;A807291;;10/26/2019 04:19:00 PM;08/30/2019;Adoption;;Dog;Neutered Male;1 month;Labrador Retriever Mix;Brown
4667;19381;A792616;;04/12/2019 05:22:00 PM;04/12/2017;Euthanasia;Rabies Risk;Other;Unknown;2 years;Bat Mix;Brown/Brown
4668;19400;A812754;Canino;02/07/2020 02:57:00 PM;01/28/2016;Return to Owner;;Dog;Neutered Male;4 years;Yorkshire Terrier/Chihuahua Shorthair;Tan
4669;19402;A790882;Lila;03/22/2019 06:04:00 PM;01/18/2019;Adoption;;Dog;Spayed Female;2 months;Anatol Shepherd;Tan/White
4670;19403;A825683;;11/16/2020 04:52:00 PM;08/09/2020;Adoption;;Dog;Neutered Male;3 months;Italian Greyhound Mix;Tan/Brown
4671;19417;A798239;Lucy;10/23/2020 05:14:00 PM;06/23/2016;Adoption;;Dog;Spayed Female;4 years;German Shepherd;Tan/Black
4672;19419;A758846;Callie;04/14/2019 01:25:00 PM;08/15/2017;Adoption;;Cat;Spayed Female;1 year;Domestic Medium Hair Mix;Calico
4673;19421;A801701;;08/08/2019 11:33:00 AM;07/23/2019;Transfer;Partner;Cat;Unknown;2 weeks;Domestic Shorthair;Brown Tabby
4674;19424;A809723;Bea;12/29/2019 06:42:00 PM;01/01/2004;Adoption;;Cat;Spayed Female;16 years;Domestic Shorthair;Brown Tabby/White
4675;19432;A802614;Stitch;08/24/2019 12:02:00 PM;08/20/2009;Transfer;Partner;Cat;Neutered Male;10 years;Domestic Shorthair;Cream Tabby
4676;19436;A825580;Srgt Peper;11/07/2020 05:20:00 PM;11/06/2018;Return to Owner;;Cat;Neutered Male;2 years;Domestic Shorthair;Cream Tabby
4677;19437;A797011;*Nova;07/21/2019 05:20:00 PM;04/23/2019;Adoption;;Cat;Spayed Female;2 months;Domestic Medium Hair Mix;Black
4678;19442;A737374;Boxer;12/03/2019 03:01:00 PM;07/12/2003;Return to Owner;;Dog;Intact Male;16 years;Chow Chow Mix;Brown
4679;19443;A798860;Thunder;10/19/2019 09:19:00 AM;05/29/2019;Adoption;Foster;Cat;Neutered Male;4 months;Domestic Shorthair;Brown Tabby
4680;19448;A788024;Lola;01/24/2020 01:15:00 PM;01/24/2018;Return to Owner;;Dog;Intact Female;2 years;Rat Terrier Mix;Tan
4681;19460;A825253;Buddy;10/30/2020 07:02:00 PM;10/30/2019;Return to Owner;;Dog;Intact Male;1 year;Boxer;Black/White
4682;19462;A792226;*Paloma;08/17/2019 12:28:00 PM;04/08/2017;Adoption;;Dog;Spayed Female;2 years;Pit Bull/Pug;Cream/White
4683;19468;A798592;;06/30/2019 09:14:00 AM;06/27/2018;Euthanasia;At Vet;Other;Unknown;1 year;Skunk;Black/White
4684;19470;A816749;;04/30/2020 03:18:00 PM;02/11/2020;Transfer;Partner;Cat;Intact Male;2 months;Domestic Shorthair Mix;Black
4685;19472;A793918;Papi;05/04/2019 12:58:00 PM;05/01/2017;Return to Owner;;Dog;Neutered Male;2 years;Pembroke Welsh Corgi Mix;Tan/White
4686;19476;A799039;*Blueberry;07/10/2019 04:43:00 PM;07/03/2017;Transfer;Partner;Dog;Intact Female;2 years;Pit Bull;Blue Tick
4687;19481;A783242;Harley;01/09/2019 01:55:00 PM;04/27/2017;Adoption;;Dog;Spayed Female;1 year;Doberman Pinsch;Black/Tan
4688;19482;A788130;Bailey;01/30/2019 09:20:00 PM;10/30/2017;Return to Owner;;Dog;Intact Female;1 year;Miniature Schnauzer Mix;Tricolor/Brown
4689;19486;A812852;;02/02/2020 05:27:00 PM;01/29/2018;Transfer;Snr;Cat;Intact Female;2 years;Domestic Shorthair;Brown Tabby/White
